BBL,RentRegulated
2024610058,1
2024610090,1
2024610094,1
2024030035,1
2023780001,1
2024040024,1
2024040018,1
2023800001,1
2024070023,1
2023840007,1
2023840008,1
2023310006,1
2023310007,1
2024410200,1
2024420034,1
2024210011,1
2024220004,1
2024417501,1
2024420060,1
2024210036,1
2024610035,1
2024540011,1
2024610022,1
2024540019,1
2023520051,1
2024730067,1
2024730055,1
2024730033,1
2024740028,1
2024740049,1
2024740046,1
2025040030,1
2025040053,1
2025040059,1
2025040060,1
2025040062,1
2025070029,1
2025040072,1
2025040073,1
2025070024,1
2025040075,1
2025080031,1
2025040094,1
2025040094,1
2025050001,1
2025050003,1
2025050006,1
2025050015,1
2025050017,1
2025050040,1
2025050046,1
2025050050,1
2025100063,1
2025100067,1
2024960034,1
2024960040,1
2024960046,1
2025270001,1
2025260160,1
2025260161,1
2025280011,1
2025370047,1
2024840015,1
2024720001,1
2024710021,1
2024720032,1
2024960052,1
2024650001,1
2024800001,1
2024650034,1
2024660044,1
2024660040,1
2024810011,1
2028390036,1
2024810019,1
2028390083,1
2028390075,1
2028330014,1
2028390010,1
2028400038,1
2028390014,1
2028390018,1
2028400022,1
2028400047,1
2028390041,1
2028400088,1
2028390053,1
2028380027,1
2025060104,1
2025060138,1
2025060134,1
2025200045,1
2025220098,1
2028420033,1
2028410010,1
2028410014,1
2028420029,1
2028410018,1
2028420023,1
2028410045,1
2028420038,1
2028410050,1
2028420080,1
2028410055,1
2028420071,1
2028410061,1
2028650126,1
2028650110,1
2028650129,1
2028650103,1
2028760031,1
2028760037,1
2028760040,1
2028760043,1
2028740097,1
2024760068,1
2024760071,1
2024760074,1
2024770001,1
2024770007,1
2024860030,1
2024770011,1
2024860025,1
2024770015,1
2024870010,1
2024780007,1
2024870020,1
2024870030,1
2024870030,1
2024780012,1
2024870032,1
2024870032,1
2024780018,1
2024870042,1
2024780024,1
2024880046,1
2024790005,1
2024880036,1
2024790015,1
2024880031,1
2024890054,1
2024810001,1
2024710050,1
2024710036,1
2024710024,1
2024720028,1
2024720023,1
2024720011,1
2024630021,1
2024630016,1
2024630053,1
2024630046,1
2024640007,1
2024640023,1
2024660032,1
2028390068,1
2028390057,1
2028410070,1
2028410063,1
2028350026,1
2028350016,1
2028370031,1
2028370018,1
2028380023,1
2028380012,1
2024650038,1
2028370001,1
2028590001,1
2025040141,1
2025040126,1
2025050030,1
2025050084,1
2025050064,1
2028550027,1
2028720200,1
2028720040,1
2028720054,1
2028720036,1
2028720058,1
2028720029,1
2028720028,1
2028720189,1
2028720205,1
2028720207,1
2028720216,1
2028720287,1
2028720280,1
2028720256,1
2028570081,1
2028570077,1
2028580001,1
2028720312,1
2028720320,1
2028720326,1
2028720331,1
2028650032,1
2028400008,1
2028410001,1
2028400014,1
2028410025,1
2028400054,1
2028410083,1
2028400054,1
2024960081,1
2024780030,1
2024790001,1
2024630026,1
2025320043,1
2025310005,1
2025320033,1
2025320033,1
2025310013,1
2025320033,1
2025350001,1
2025360001,1
2025120059,1
2025120015,1
2025140036,1
2025160058,1
2025150009,1
2025170015,1
2025180031,1
2025190001,1
2025200023,1
2025200026,1
2025200028,1
2025210031,1
2025210027,1
2028730008,1
2025210024,1
2028740001,1
2028730013,1
2028730016,1
2028740037,1
2028740033,1
2028740134,1
2028740107,1
2028740098,1
2025110013,1
2025240021,1
2025240020,1
2025110022,1
2025110025,1
2025240018,1
2025240016,1
2025240057,1
2025240056,1
2025140005,1
2025260090,1
2025280029,1
2025280028,1
2025280027,1
2025220005,1
2025220016,1
2025220043,1
2025220047,1
2025220049,1
2025220051,1
2025220053,1
2025220055,1
2025220063,1
2025220070,1
2025360026,1
2025360015,1
2025220126,1
2025220124,1
2025210005,1
2028740085,1
2025100087,1
2025060010,1
2025060016,1
2025060022,1
2025060075,1
2025200053,1
2025200001,1
2028720005,1
2028720007,1
2028730058,1
2028730054,1
2028720108,1
2028720123,1
2025230043,1
2025240004,1
2025240206,1
2025240207,1
2025230069,1
2025230068,1
2025230067,1
