ID,Address,City,State,Zip Code,Census Tract,BBL
174,2186 Cruger Avenue,Bronx,NY,10462,36005022403,2043190015
175,144-44 SANFORD AVE,Queens,NY,11355,36081086100,4053740023
176,211 E 13th St,New York,NY,10003,36061004002,1004697506
177,919 Prospect Avenue,Bronx,NY,10459,36005013300,2-02677-0070
178,699 Ocean Avenue,Brooklyn,NY,11226,36047051001,3-05124-0040
179,600 W 239 Street,Bronx,NY,10463,36005030701,2-05904-0267
180,1 Jacobus Pl,NEW YORK,NY,10463,0,1-02215-0339
181,1 Jacobus Pl,NEW YORK,NY,10463,0,1-02215-0339
182,1201 Ave K,Brooklyn,NY,11230,36047053400,3067140041
183,1106-1124 Ave K,Brooklyn,NY,11230,36047053400,3067220001
184,30 Third Avenue,Brooklyn,NY,11217,36047003900,3-00179-7503
185,210 Amsterdam Avenue,New York,NY,10023,36061015501,1-01158-0033
186,2922 Barnes Avenue,Bronx,NY,10467,36005034000,2-04550-0012
187,103-55 97TH STREET,OZONE PARK,NY,11417,36081004002,4/09120/0043
188,934 Carroll St,Brooklyn,NY,11225,36047021300,3011890024
189,87-84 165 Street,Jamaica,NY,11432,36081044602,4-09814-0116
190,3215 Olinville Ave,Bronx,NY,10467,36005037600,2045940044
191,2715 Grand Concourse,Bronx,NY,10468,36005040304,2-03314-0041
192,301 Bartholdi Street,Bronx,NY,10467,0,2-04633-0001
193,3520 Dekalb Avenue,Bronx,NY,10467,36005043101,2-03328-0143
194,301 Bartholdi Street,Bronx,NY,10467,0,2-04633-0001
195,177 E. 75th Street,New York,NY,10021,36061012800,1-01410-0033
196,116 East Mosholu,Bronx,NY,10458,0,2-03313-0040
197,935 East 163rd Street,Bronx,NY,10459,36005008700,2-02703-0025
198,945 East 163rd Street,Bronx,NY,10459,36005008700,2-02703-0053
199,2766 university avenue,Bronx,NY,10468,36005026702,2-03249-0006
200,2800 University Avenue,Bronx,NY,10468,36005026702,2-03249-0046
201,10 Stanton St,New York,NY,10002,36061003601,1-00427-0002
202,1752 Madison Ave,New York,NY,10029,36061018400,1-01621-0014
203,210 Stanton St,New York,NY,10002,36061002201,1-00345-0048
204,701 Empire Boulevard,Brooklyn,NY,11213,36047033100,3-01422-0064
205,73 WEST 104 STREET,New York,NY,10025,36061018900,1-01840-0005
206,535 West 51st Street,New York,NY,10019,36061013501,1-01080-0010
207,5200 15 AVE HH,Brooklyn,NY,11219,36047023800,3-05664-0035
208,2360 AMSTERDAM AVENUE,New York,NY,10033,36061026100,1-02132-7501
209,133 WEST 140 STREET,New York,NY,10030,36061023000,1-02009-0023
210,15 W 53rd Street,New York,NY,10019,36061010400,1-01269-7501
211,321 WEST 13th   STREET,New York,NY,10014,36061007700,1-00629-7501
212,150-15 79th Avenue,Queens,NY,11367,36081077904,4-06711-0027
213,327 St. Nicholas Ave,New York,NY,10027,36061021303,1-01953-0012
214,57 west 75th st,new york,NY,10023,36061016100,1-01128-0001
215,1013 East 13 Street,Brooklyn,NY,11230,36047053400,0
216,510 ocean parkway,brooklyn,NY,11218,36047048400,3-05399-0007
217,4802 12th Avenue,brooklyn,NY,11219,36047022000,3-05633-0068
218,945 east 26th st,brooklyn,NY,11210,36047075000,3-07590-0023
219,402 Foster ave,brooklyn,NY,11230,36047046201,3-06501-0018
220,530 Second street,brooklyn,NY,11215,36047015500,3-01078-0016
221,1964 Nostrand Ave,brooklyn,NY,11210,36047078801,3-05231-0042
222,1818 ave L,Brooklyn,NY,11219,36047053800,3067380007
223,1800 Avenue L,Brooklyn,NY,11230,36047053800,0
224,1800 Avenue L,Brooklyn,NY,11230,36047053800,0
225,P.O.Box 190322,Brooklyn,NY,11219,0,0
226,30 West 181st Street,Bronx,NY,10453,36005025100,2-03194-0031
227,35-39 Marcy Place,Bronx,NY,10452,36005022101,2028410025
228,1424-1426 Walton Ave,Bronx,NY,10452,36005022300,2028430079
229,1465-1477 Townsend Ave,Bronx,NY,10452,36005022300,2028440021
230,1450-1456 Townsend Ave,Bronx,NY,10452,36005022300,2028440038
231,1512 Townsend AVE,Bronx,NY,10452,36005020900,2028450007
232,1530-1532 Townsend Ave,Bronx,NY,10452,36005020900,2028450017
233,1615-1617 Walton Ave.,Bronx,NY,10452,36005022702,2028470063
234,1525-1533 Townsend Ave.,Bronx,NY,10452,36005020900,2028460061
235,1610-1618 Walton Ave,Bronx,NY,10452,36005022702,2028380004
236,1550 Townsend Ave,Bronx,NY,10452,36005020900,2028450020
237,315 West 115th Street,New York,NY,10026,36061020102,1-01848-0042
238,103 Thayer Street,New York,NY,10040,36061028700,1-02175-0045
239,240 West 73rd Street,New York,NY,10017,36061015900,1-01164-0047
240,464-466 Amsterdam & 200-210 West 83rd,New York,NY,10024,0,"Manhattan, 1012300001, 1"
241,173 East 90th Street,New York,NY,10128,36061014802,"Manhattan, Block 1015190001, Lot 1"
242,182-188 Columbus Avenue,New York,NY,10023,36061015302,"Manhattan, Block 001140, Lot 0030"
243,181-199 Columbus Avenue,New York,NY,10021,36061015301,"Manhattan, Block 001121, Lot 001"
244,118-122 West 23rd Street,New York,NY,10011,36061009100,"Manhattan, Block 00798, Lot 0054"
245,1490 Ocean Avenue,Brooklyn,NY,11230,36047076200,0
246,981-995 Columbus Avenue,New York,NY,10025,36061019300,1-01844-0001
247,500 West 176th Street,New York,NY,10033,36061026100,1-02132-0058
248,133 West 113th Street,New York,NY,10026,36061021600,1-01823-0010
249,3900 Bailey Avenue,Bronx,NY,10463,36005027900,2-03263-0085
250,575 Park Avenue,New York,NY,10065,36061011402,1-01397-0069
251,321 Eighth Ave,New York,NY,10001,36061009300,1-00752-0001; 1-00749-0001; 1-00749-0024; 1-00747-0001; 1-00751-0001; 1-00748-0001
252,465 Park Avenue,New York,NY,10022,36061011203,1-01312-7502
253,808 West End Avenue,New York,NY,10025,36061018700,1-01871-0001
254,820 West End Avenue,New York,NY,10025,36061018700,1-01871-0061
255,280 Longstreet Ave.,Bronx,NY,10465,36005013800,2-05519-0091
256,1601 Metropolitan Avenue,New York,NY,10462,36005021001,2039447501
257,35-39 West 33rd Street,New York,NY,10001,36061007600,1-00835-0015
258,2200 E. Tremont Avenue,New York,NY,10462,36005021001,2039447501
259,1705 Purdy Street,New York,NY,10462,36005021001,2039447501
260,2090 E. Tremont Avenue,New York,NY,10462,36005021001,2039447501
261,1718 Purdy St.,New York,NY,10462,36005021001,2039627501
262,1564 Unionport Road,New York,NY,10462,36005021001,2039447501
263,1515 Metropolitan Avenue,New York,NY,10462,36005021001,2039447501
264,1561 Metropolitan Avenue,New York,NY,10462,36005021001,2039447501
265,1501 Metropolitan Avenue,New York,NY,10462,36005021001,2039447501
266,1591 Metropolitan Avenue,New York,NY,10462,36005021001,2039447501
267,1 Metropolitan Oval,New York,NY,10462,36005021001,2039447501
268,2140 E. Tremont Avenue,New York,NY,10462,36005021001,2039447501
269,7 Metropolitan Oval,New York,NY,10462,36005021001,2039447501
270,1594 Unionport Road,New York,NY,10462,36005021001,2039447501
271,1936 E. Tremont Avenue,New York,NY,10462,36005021001,2039447501
272,1950 E. Tremont Avenue,New York,NY,10462,36005021001,2039447501
273,70 East 8th.Street,brooklyn,NY,11218,36047050401,3053210051
274,3091 Brighton 5 Sr,Brooklyn,NY,11235,36047036002,3086890015
275,3115 Brighton 4th St,Brooklyn,NY,11235,36047036002,3086880041
276,105 Buckingham Road,Brooklyn,NY,11235,36047051200,3-05097-0060
277,1600 Fulton Street,Brooklyn,NY,11213,36047027100,3-01699-0027
278,45-08 40th Street,Queens,NY,11104,36081018101,4-00194-0023
279,351 East 51st Street,New York,NY,10022,36061009800,1-01344-7502
280,60 East 88th Street,New York,NY,10128,36061015002,1-01499-7501
281,177 9th Avenue,New York,NY,10011,36061008900,1-00718-7501
282,150 Central Park South,New York,NY,10019,36061013700,1-01011-0052
283,501 East 74th Street,NEW YORK,NY,10021,36061013201,1014860001
284,2385 Barker Avenue,Bronx,NY,10467,36005033201,243407502
285,30-60 Crescent Street,Queens,NY,11102,36081007300,4-00571-0001
286,30-91 Crescent Street,Queens,NY,11102,36081007300,4-00578-0013
287,33-43 Crescent Street,Queens,NY,11106,36081005300,4-00581-0033
288,3824 213th St,Bayside,NY,11361,0,4-06233-0034
289,999 East Tremont Avenue,Bronx,NY,10460,36005036100,2-03130-0020
290,1001-1005 E. Tremont Ave.,Bronx,NY,10460,36005036100,2-03130-0020
291,1001-1005 East 178th Street,Bronx,NY,10460,36005036100,2-03136-0001
292,950 Jennings Street,Bronx,NY,10460,36005012300,2-02987-0025
293,990-1000 178th Street,Bronx,NY,10460,36005036100,2-03130-0020
294,2075 Walton Avenue,Bronx,NY,10453,36005024100,2-03179-0052
295,2111 Hughes Avenue,Bronx,NY,10457,36005037300,2-03070-0030
296,2130 Crotona Avenue,Bronx,NY,10457,36005037100,2-03098-0001
297,54 Evelyn Place,Bronx,NY,10468,36005025300,2-03209-0009
298,321 East 198th Street,Bronx,NY,10458,36005040702,2-03291-0024
299,323 East 198th Street,Bronx,NY,10458,36005040702,2-03291-0016
300,325 East 198th Street,Bronx,NY,10458,36005040702,2-03291-0008
301,21 West Mosholu Pkwy North,Bronx,NY,10467,36005042100,2-03324-0030
302,240 East 194th Street,Bronx,NY,10458,36005039901,2-03293-0135
303,1 West Farms Square Plaza,Bronx,NY,10460,0,2-03130-0020;2-03131-0020;2-03136-0001
304,1000 - 1010 East 179th Street (Building 7&8),Bronx,NY,10460,0,2-03136-0001
305,2350 Webster Avenue,Bronx,NY,10460,0,2-03031-0021
