ID,Address,City,State,Zip Code,Census Tract,BBL
3853,1815 Prospect Avenue,Bronx,NY,10457,36005036902,2-02949-0075
3854,208 West 149th St,Manhattan,NY,10039,36061023400,1020340041
3855,2571-2579 Frederick Douglass Boulevard,New York,NY,10030,36061022102,1-02014-7502
3856,510 Chauncey St,Brooklyn,NY,11233,36047036900,3015170002
3857,2547 8th Avenue,New York,NY,10030,0,1-01960-7502
3858,28-30 34th St,Long Island City,NY,11103,36081006501,4-00627-0030
3859,31-16 35th Avenue,Queens,NY,11106,36081005300,4-00604-0026
3860,31 West 12th Street,New York,NY,10011,36061006300,1-00576-0056
3861,135 Eastern Parkway,Brooklyn,NY,11238,36047021500,3-01179-0047
3862,235 West 71st Street,New York,NY,10023,36061015900,1-01163-7502
3863,"165,185 & 215 Park Row",New York,NY,10038,0,1-00117-0001
3864,242 East 25th Street,New York,NY,10010,36061006600,1-00905-0035
3865,87 Leonard Street,New York,NY,10013,36061003300,1-00174-7504
3866,1274 5th Ave,New York,NY,10029,36061017401,1-01614-0069
3867,350 East 30th Street,New York,NY,10016,36061007001,1-00935-7501
3868,38 West 26th Street,New York,NY,10010,36061005800,1-00827-0068
3869,255 West 90th Street,New York,NY,10024,36061017900,1-01238-0010
3870,46 West 83rd Street,New York,NY,10024,36061016900,1-01196-0052
3871,15 West 84th Street,New York,NY,10024,36061016900,1-01198-0019
3872,261 Broadway,New York,NY,10007,36061002100,1-00135-7501
3873,14 West 14th Street,New York,NY,10011,36061006300,1-00577-7504
3874,829 East 10th Street,Brooklyn,NY,11230,36047045600,3-06513-0073
3875,1002 Avenue H,Brooklyn,NY,11230,36047045600,3-06513-0001
3876,2000 Quentin Road,Brooklyn,NY,11229,36047055000,3-06803-0001
3877,825 East 9th Street,Brooklyn,NY,11230,36047045600,3-06512-0075
3878,340 Webster Avenue,Brooklyn,NY,11230,36047048200,3-05425-0001
3879,1718 Quentin Road,Brooklyn,NY,11229,36047055200,3-06800-0004
3880,36 Laurel Hill Terrace,New York,NY,10033,36061026700,1-02149-0056
3881,1256 East 13th Street,Brooklyn,NY,11230,36047076800,3-06732-0028
3882,711 Brightwater Court,Brooklyn,NY,11235,36047036002,3-08692-0083
3883,2835 Webb Avenue,Bronx,NY,10468,36005026702,2-03250-0040
3884,43-33 48th Street,New York,NY,11104,36081025301,4-00139-7501
3885,"1380 Riverside Drive, 1384 Riverside Drive",New York,NY,10033,36061027500,1-02179-0005
3886,147 Waverly Place,New York,NY,10014,36061007100,1-00593-7502
3887,"2156 Cruger Avenue, Bronx",New York,NY,10462,36005022403,2-04319-0010
3888,2950 West 24th Street,Brooklyn,NY,11224,36047032600,3-07055-0013
3889,384 East 194th Street,Bronx,NY,10458,36005039700,2-03276-0005
3890,1367 Sterling Place,Brooklyn,NY,11213,36047034500,3-01372-0001
3891,108 East Clarke Place,Bronx,NY,10452,0,2-02839-0041
3892,420-440 Watkins Street,Brooklyn,NY,11212,36047091800,3-03590-0050
3893,600 East 21st Street,Brooklyn,NY,11226,36047051601,3-05206-0017
3894,345-365 Thatford Avenue,Brooklyn,NY,11212,36047091800,3-03590-0011
3895,510-522 Quincy Street,Brooklyn,NY,11221,36047027700,3-01811-0019
3896,117 Beekman Street,New York,NY,10038,36061001501,1-00095-7501
3897,366 Broadway,NY,NY,10013,36061003100,1-00172-0001
3898,154 Attorney Street,New York,NY,10017,36061002201,1-00345-7501
3899,176-182 West 82nd Street,New York,NY,10024,36061016500,1-01212-0061
3900,12 East 13th Street,New York,NY,10003,36061006100,1-00570-0011
3901,"123 West 44th Street, New York",Manhattan,NY,10036,36061011900,1-00997-0019
3902,"234 East 46th Street, New York",Manhattan,NY,10017,36061009000,1-01319-0034
3903,"42 West 58th Street, New York",Manhattan,NY,10019,36061011201,1-01273-0060
3904,"330 East 56th Street, New York",Manhattan,NY,10022,36061010801,1-01348-0036
3905,84 William Street,New York,NY,10038,36061001502,1-00068-0016
3906,25 East 21st Street,New York,NY,10010,36061005600,1-00850-7501
3907,1380 University Avenue,Bronx,NY,10452,36005020100,2-02534-0008
3908,1520 Sedgwick Avenue,Bronx,NY,10453,36005020501,2-02880-0017
3909,680 Jefferson Ave,Brooklyn,NY,11221,36047029500,3-01656-0030
3910,2239-41 Creston Avenue,Bronx,NY,10453,36005023704,2-03171-0037
3911,2323 Creston Avenue,Bronx,NY,10468,36005023703,2-03172-0028
3912,2629 Sedgwick Avenue,Bronx,NY,10468,36005026900,2-03237-0108
3913,318-322 West 52nd Street,New York,NY,10019,36061013300,1-01042-7503
3914,143 West 20th Street,New York,NY,10011,36061008700,1-00796-0013
3915,34 West 17th Street,New York,NY,10011,36061005400,1-00818-0070
3916,67-25 Clyde Street,Forest Hills,NY,11375,36081071100,4-03165-0062
3917,1452 Carroll Street,Brooklyn,NY,11213,36047033300,3-01293-0038
3918,654 Saint Marks Avenue,Brooklyn,NY,11216,36047031701,3-01226-0015
3919,520 Crown Street,Brooklyn,NY,11213,36047033300,3-01300-0021
3920,112-20 72nd Drive,Forest Hills,NY,11375,36081075701,4-02252-0010
3921,375 Lincoln Place,Brooklyn,NY,11211,36047021500,3-01176-0047
3922,90 Franklin Street,NY,NY,10014,36061003300,1-00175-7504
3923,240 West End Ave,New York,NY,10023,36061015900,1-01162-7501
3924,330 East 70 Street,New York,NY,10021,36061012601,1-01444-0031
3925,653 Tenth Avenue,New York,NY,10036,36061012902,1-01075-0029
3926,402 East 78th Street,New York,NY,10021,36061013203,1-01472-0046
3927,"530 Briar Place,",Queens,NY,11691,36081099801,4-15771-0011
3928,"841 7 Avenue,",Manhattan,NY,10019,36061013700,1-01007-0001
3929,137-60 45 Avenue,Queens,NY,11355,36081084500,4-05146-0036
3930,23-11 cornaga avenue,Queens,NY,11691,36081100803,4-15753-0072
3931,148-28 88 avenue,queens,NY,11435,36081023800,4-09693-0019
3932,40-45 elbertson street,queens,NY,11373,36081027102,4-01511-0001
3933,147-25 88 Avenue,Queens,NY,11435,36081023800,4-09692-0072
3934,89-25 elmhurst avenue,queens,NY,11373,36081027102,4-01510-0020
3935,40-51 denman street,queens,NY,11373,36081046902,4-01552-0001
3936,41-11 elbertson street,queens,NY,11373,36081046902,4-01553-0001
3937,88-02 37 avenue,queens,NY,11372,36081027701,4-01476-0001
3938,37-06 80 Street,Queens,NY,11372,36081028500,4-01290-0001
3939,83-31 116th street,Queens,NY,11418,36081013400,4-03321-0061
3940,148-45 89th Avenue,Queens,NY,11435,36081023800,4-09693-0042
3941,439 Beach 22nd Street,Queens,NY,11691,36081099801,4-15771-0064
3942,90-05 153rd Street,Queens,NY,11432,36081024000,4-09753-0015
3943,62-29 84th Street,Queens,NY,11379,36081067900,4-02974-0060
3944,55-30 98 Place,Queens,NY,11368,36081044302,4-01907-0001
3945,99-04 57th Avenue,Queens,NY,11368,36081043702,4-01945-0001
3946,62-42 Woodhaven Blvd.,Queens,NY,11374,36081067900,4-02974-0085
3947,169-04 88th Avenue,Queens,NY,11432,36081046000,4-09823-0009
3948,55-25 98 Place,Queens,NY,11368,36081044302,4-01908-0001
3949,41-42 66 Street,Queens,NY,11377,36081026300,4-01553-0001
3950,147-28 90 Avenue,Queens,NY,11435,36081024000,4-09677-0167
3951,3840 Greystone Avenue,Bronx,NY,10463,36005033500,2-05779-0820
3952,"530 Briar Place,",Queens,NY,11691,36081099801,4-15771-0011
3953,148-28 88 avenue,queens,NY,11435,36081023800,4-09693-0019
3954,40-45 elbertson street,queens,NY,11373,36081027102,4-01511-0001
3955,147-25 88 Avenue,Queens,NY,11435,36081023800,4-09692-0072
3956,439 Beach 22nd Street,Queens,NY,11691,36081099801,4-15771-0064
3957,"841 7 Avenue,",Manhattan,NY,10019,36061013700,1-01007-0001
3958,137-60 45 Avenue,Queens,NY,11355,36081084500,4-05146-0036
3959,89-25 elmhurst avenue,queens,NY,11373,36081027102,4-01510-0020
3960,40-51 denman street,queens,NY,11373,36081046902,4-01552-0001
3961,99-04 57th Avenue,Queens,NY,11368,36081043702,4-01945-0001
3962,169-04 88th Avenue,Queens,NY,11432,36081046000,4-09823-0009
3963,222-01 69 Avenue... Various (See Notes),Queens,NY,11364,36081137700,4-07668-0010
3964,23-11 cornaga avenue,Queens,NY,11691,36081100803,4-15753-0072
3965,41-11 elbertson street,queens,NY,11373,36081046902,4-01553-0001
3966,88-02 37 avenue,queens,NY,11372,36081027701,4-01476-0001
3967,37-06 80 Street,Queens,NY,11372,36081028500,4-01290-0001
3968,"182-25 Wexford Terrace,",Queens,NY,11432,36081047200,4-09951-0011
3969,7520 Ridge Boulevard,Brooklyn,NY,11209,36047004400,3-05938-0047
3970,83-31 116th street,Queens,NY,11418,36081013400,4-03321-0061
3971,148-45 89th Avenue,Queens,NY,11435,36081023800,4-09693-0042
3972,90-05 153rd Street,Queens,NY,11432,36081024000,4-09753-0015
3973,62-29 84th Street,Queens,NY,11379,36081067900,4-02974-0060
3974,9707 4 Avenue,Brooklyn,NY,11209,36047016200,3-06127-0011
3975,172-70 Highland Avenue,Queens,NY,11432,36081046600,4-09845-0027
3976,155 East 91 Street,Manhattan,NY,10128,36061015801,1-01520-0025
3977,55-30 98 Place,Queens,NY,11368,36081044302,4-01907-0001
3978,62-42 Woodhaven Blvd.,Queens,NY,11374,36081067900,4-02974-0085
3979,55-25 98 Place,Queens,NY,11368,36081044302,4-01908-0001
3980,3475 Greystone Avenue,Bronx,NY,10463,36005029500,2-05764-0642
3981,4555 Henry Hudson Parkway West,Bronx,NY,10471,36005030701,2-05909-0970
3982,"5500 Fieldston Road,",Bronx,NY,10471,36005034500,2-05845-1825
3983,4601 Henry Hudson Parkway,Bronx,NY,10471,36005030701,2-05911-1102
3984,5355 Henry Hudson Parkway,Bronx,NY,10471,36005032300,2-05946-0052
3985,4525 Henry Hudson Parkway West,Bronx,NY,10471,36005030701,2-05909-0977
3986,3725 Henry Hudson Parkway,Bronx,NY,10463,36005030701,2-05904-0100
3987,221-08 64 Avenue... Various (See Notes),Queens,NY,11364,36081137700,4-07656-0002
3988,"73-12 35 Avenue,",Queens,NY,11372,36081028900,4-01273-0001
3989,223-02 65 Avenue,Queens,NY,11364,36081137700,4-07670-0002
3990,100-11 67 Road,Queens,NY,11375,36081071306,4-03170-0001
3991,"64-11 99 Street,","Queens,",NY,11374,36081072100,4-02113-0001
3992,"10 Shore Boulevard,",Brooklyn,NY,10022,36047061004,3-08710-7501
3993,40 Shore Boulevard,Brooklyn,NY,11235,36047061004,3-08710-7501
3994,6902 Narrows Avenue,Brooklyn,NY,11209,36047003400,3-05868-7501
3995,9101 Shore Road,Brooklyn,NY,11209,36047005201,3-06083-0001
3996,164-20 Highland Avenue,Queens,NY,11432,36081044602,4-09836-0022
3997,2727 Ocean Parkway,Brooklyn,NY,11235,36047036600,3-07260-0028
3998,7423 Ridge Boulevard,Brooklyn,NY,11209,36047006600,3-05928-0001
3999,18-22 21 Avenue,Queens,NY,11105,36081010300,4-00896-0053
4000,"18-15 21st Avenue,",Queens,NY,11105,36081010500,4-00894-0030
4001,515 Ovington Avenue,Brooklyn,NY,11209,36047013000,3-05874-0084
4002,7901 4th Avenue,Brooklyn,NY,11209,36047013600,3-05980-0001
4003,8686 Bay Parkway,Brooklyn,NY,11214,36047029200,3-06414-7501
4004,36 Dahill Road,Brooklyn,NY,11218,36047049800,3-05305-0051
4005,629 Kappock Street,Bronx,NY,10463,36005029302,2-05725-0776
4006,63-45 Saunders Street,Queens,NY,11374,36081069300,4-03080-0043
4007,3111 Brighton 2 Street,Brooklyn,NY,11235,36047036001,3-08685-0083
4008,41-42 66 Street,Queens,NY,11377,36081026300,4-01553-0001
4009,100-11 67 Road,Queens,NY,11375,36081071306,4-03170-0001
4010,"182-25 Wexford Terrace,",Queens,NY,11432,36081047200,4-09951-0011
4011,"73-12 35 Avenue,",Queens,NY,11372,36081028900,4-01273-0001
4012,"64-11 99 Street,","Queens,",NY,11374,36081072100,4-02113-0001
4013,"10 Shore Boulevard,",Brooklyn,NY,10022,36047061004,3-08710-7501
4014,40 Shore Boulevard,Brooklyn,NY,11235,36047061004,3-08710-7501
4015,6902 Narrows Avenue,Brooklyn,NY,11209,36047003400,3-05868-7501
4016,9101 Shore Road,Brooklyn,NY,11209,36047005201,3-06083-0001
4017,7423 Ridge Boulevard,Brooklyn,NY,11209,36047006600,3-05928-0001
4018,7520 Ridge Boulevard,Brooklyn,NY,11209,36047004400,3-05938-0047
4019,164-20 Highland Avenue,Queens,NY,11432,36081044602,4-09836-0022
4020,2727 Ocean Parkway,Brooklyn,NY,11235,36047036600,3-07260-0028
4021,7901 4th Avenue,Brooklyn,NY,11209,36047013600,3-05980-0001
4022,172-70 Highland Avenue,Queens,NY,11432,36081046600,4-09845-0027
4023,8686 Bay Parkway,Brooklyn,NY,11214,36047029200,3-06414-7501
4024,36 Dahill Road,Brooklyn,NY,11218,36047049800,3-05305-0051
4025,63-45 Saunders Street,Queens,NY,11374,36081069300,4-03080-0043
4026,3111 Brighton 2 Street,Brooklyn,NY,11235,36047036001,3-08685-0083
4027,155 East 91 Street,Manhattan,NY,10128,36061015801,1-01520-0025
4028,80-20 BROADWAY,ELMHURST,NY,11373,36081048100,4-01526-0001
4029,148-09 NORTHERN BLVD.,FLUSHING,NY,11354,36081116301,4-05005-7502
4030,181 Lenox Road,Brooklyn,NY,11226,36047082200,3-05065-0075
4031,7401 Ridge Boulevard,Brooklyn,NY,11209,36047006600,3-05928-0006
4032,41-65 Forley Street,Elmhurst,NY,11373,36081046902,4-01554-0051
4033,59 Livingston Street,Brooklyn,NY,11201,36047000900,3-00265-0006
4034,41-42 73RD STREET,WOODSIDE,NY,11377,36081026501,4-01312-0043
4035,"31-30/50/70 138 Street,",Flushing,NY,11375,0,4-04410-0056
4036,102-25/35/45/55 67 Road,Queens,NY,11375,0,4-02134-0050
4037,140-50 Burden Crescent,Queens,NY,11435,36081022002,4-09713-0113
4038,66-01 110 Street,Queens,NY,11375,36081074700,4-02186-0002
4039,88-30 182 Street,Queens,NY,11423,36081046800,4-09917-0013
4040,"18-15 21st Avenue,",Queens,NY,11105,36081010500,4-00894-0030
4041,92-31 57 Avenue,Queens,NY,11373,36081068300,4-01872-0045
4042,18-22 21 Avenue,Queens,NY,11105,36081010300,4-00896-0053
4043,"36 Gramercy Park East,",Manhattan,NY,10003,36061005000,1-00876-7503
4044,"424 Cathedral Parkway,",Manhattan,NY,10025,36061019300,1-01864-0009
4045,2504 Bronx Park East,Bronx,NY,10467,36005033202,2-04427-0007
4046,"34-25 150 Place,",Queens,NY,11354,36081115700,4-05001-0001
4047,144-30 Roosevelt Avenue,Queens,NY,11354,36081086300,4-05025-0020
4048,40 Thayer Street,Manhattan,NY,10040,36061028500,1-02174-0211
4049,220 Cabrini Boulevard,Manhattan,NY,10033,36061027500,1-02179-0274
4050,656 West 162 Street,Manhattan,NY,10032,36061024700,1-02136-0180
4051,111-18 66 Avenue,Queens,NY,11375,36081074700,4-02186-0075
4052,"370 Manhattan Avenue,",Manhattan,NY,10026,36061020102,1-01848-0036
4053,144-70 41st Avenue,Flushing,NY,11355,36081086300,4-05050-0031
4054,165-20 Highland Avenue,Queens,NY,11432,36081045400,4-09837-0080
4055,201 Crown Street,Brooklyn,NY,11225,36047032300,3-01288-0045
4056,601 West 160 Street,Manhattan,NY,10032,36061024500,1-02137-0011
4057,1220 Ocean Avenue,Brooklyn,NY,11230,36047076400,3-06694-0050
4058,734 Ocean Avenue,Brooklyn,NY,11226,36047051400,3-05150-0006
4059,"750 Ocean Avenue,",Brooklyn,NY,11226,36047051400,3-05150-0013
4060,1220 Ocean Avenue,Brooklyn,NY,11230,36047076400,3-06694-0055
4061,111-33 66 Avenue,"Forest Hills,",NY,11375,36081074700,4-02186-0038
4062,1304 New York Avenue,Brooklyn,NY,11203,36047083000,3-04966-0009
4063,1700 Albemarle Road,Brooklyn,NY,11226,36047051200,3-05121-0001
4064,450 East 34 Street,Brooklyn,NY,11203,36047085600,3-04918-0025
4065,532 Lefferts Avenue,Brooklyn,NY,11225,36047080600,3-01332-0030
4066,77 Linden Boulevard,Brooklyn,NY,11226,36047082200,3-05084-0001
4067,780 Saint Marks Avenue,Brooklyn,NY,11213,36047034100,3-01228-0007
4068,478 Central Park West,Manhattan,NY,10025,36061019300,1-01844-7501
4069,40-07 73 STREET,Queens,NY,11377,36081026501,4-01305-7501
4070,2801 Beverley Road,Brooklyn,NY,11226,36047082600,3-05139-0035
4071,1702 Dahill Road,Brooklyn,NY,11223,36047041200,3-06656-0006
4072,8302 6 Avenue,Brooklyn,NY,11209,36047014200,3-06019-0041
4073,155 East 51 Street,Brooklyn,NY,11203,36047087800,3-04621-0001
4074,112 Marine Avenue,Brooklyn,NY,11209,36047005400,3-06115-0037
4075,62-05 Woodhaven Boulevard,Queens,NY,11374,36081069500,4-03106-0020
4076,445 East 5 Street,Brooklyn,NY,11218,36047049400,3-05357-0054
4077,62-60 99th Street,Queens,NY,11374,36081071701,4020860040
4078,601 West 57th Street,New York,NY,10019,36061013502,1011050029
4079,855 6th Ave,New York,NY,10036,36061010100,1-00806-0034
4080,625 West 57th,New York,NY,10019,36061013502,1-01105-7501
4081,600 West 58th,Manhattan,NY,10019,0,0
4082,2365 East 13 St,Brooklyn,NY,11229,36047058400,3-07398-0027
4083,2323 East 12 St,Brooklyn,NY,11229,36047058400,3-07396-0066
4084,1230 Avenue X,Brooklyn,NY,11235,36047058800,3-07413-0004
4085,1411 Avenue V,Brooklyn,NY,11229,36047058000,3-07347-0036
4086,1265 EAST 19 ST,Brooklyn,NY,11230,36047053800,3-06739-0019
4087,2245 Ocean Pkwy,Brooklyn,NY,11223,36047039200,3-07158-0033
4088,1869 83rd Street,Brooklyn,NY,11214,36047027800,3-06315-0039
4089,1818 Ocean Avenue,Brooklyn,NY,11230,36047053800,3-06748-0026
4090,3692 Bedford Avenue,Brooklyn,NY,11229,36047054800,3-06771-0037
4091,915 West End Ave,Manhattan,NY,10025,36061019100,1018910026
4092,499 Ocean Avenue,Brooklyn,NY,11226,36047050801,3-05081-0052
4093,"408 East 92nd Street, New York",Manhattan,NY,10128,36061015200,1-01571-0049
4094,"150 East 57th Street, New York",Manhattan,NY,10022,36061011203,1-01311-0045
4095,"220 East 72nd Street, New York",Manhattan,NY,10021,36061012602,1-01426-0035
4096,"985 5th Avenue, New York",Manhattan,NY,10075,36061014200,1-01491-0004
4097,"800 5th Avenue, New York",Manhattan,NY,10065,36061011401,1-01376-0001
4098,"450 East 63rd Street, New York",Manhattan,NY,10065,36061010602,1-01457-0017
4099,"55 West 25th Street, New York",Manhattan,NY,10010,36061005800,1-00827-0001
4100,7 West 21st Street,New York,NY,10010,36061005800,1-00823-0031
4101,25 Broad Street,New York,NY,10004,36061000900,1-00025-0019
4102,1170 WALTON AVENUE,Bronx,NY,10452,36005019700,2-02463-0001
4103,120 East 87th Street,New York,NY,10128,36061014802,1-01515-7502
4104,302 - 340 101st St,Brooklyn,NY,11209,36047005602,3-06137-0200
4105,63-36 99th Street,Queens,NY,11374,36081071701,4-02099-7502
4106,165 Christopher St,Manhattan,NY,10014,36061007500,1-00636-0022
4107,220 East 54th Street,New York,NY,10022,36061009800,1-01327-0037
4108,70 East 77th Street,new York,NY,10075,36061013000,1-01391-0045
4109,825 West End Ave.,Manhattan,NY,10025,36061018700,1-01889-7501
4110,315 East 69th Street,New York,NY,10065,36061012601,1-01444-0008
4111,3206 Emmons Avenue,Brooklyn,NY,11235,36047062200,0
4112,250 West 49th Street,New York,NY,10009,36061012500,1-01020-0059
4113,229 Mulberry Street,New York,NY,10012,36061004300,1-00495-0033
4114,460 West 20th Street,New York,NY,10011,36061008900,1-00717-0077
4115,184 lexington Ave,New York,NY,10016,36061007200,1-00887-0023
4116,30 West 18th Street,New York,NY,10011,36061005400,1-00819-0059
4117,220 East 24 Street,Manhattan,NY,10010,36061006400,1-00904-0040
4118,298 Mulberry Street,New York,NY,10012,36061005502,1005210001
4119,3206 Emmons Avenue,Brooklyn,NY,11235,36047062200,3-08815-0530
4120,61-15 43 Avenue Woodside,Queens,NY,11377,36081024900,4013360001
4121,140-60 Beech Ave Flushing,Queens,NY,11355,36081085900,4051860029
4122,189-14 Crocheron Ave Flushing,Queens,NY,11358,36081113900,4053070024
4123,140-30 Ash Ave Flushing,Queens,NY,11355,36081085900,4051850017
4124,747 Riverside Drive,New York,NY,10031,36061024100,1-02098-0053
4125,740 Riverside Drive,New York,NY,10031,36061023700,1-02098-0013
4126,5702 4 Avenue,Brooklyn,NY,10020,36047007400,3008460035
4127,2251 Sedgewick Ave,Bronx,NY,10468,36005025700,2032340037
4128,5714 4th Ave,Brooklyn,NY,11220,36047007400,3008460040
4129,84-70 129th Street Kew Gardens,Queens,NY,11415,36081013800,4092490040
4130,353 Beach 57th Street,Queens,NY,11692,36081097204,4-15895-0050
4131,300 E 59 St,New York,NY,10022,36061010802,1-01351-0001
4132,14 E 4th St,New York,NY,10012,36061005502,1-00531-7501
4133,215-37 48th Ave,Bayside,NY,11364,36081144100,4-07348-0001
4134,583 riverside drive,New York,NY,10031,36061021100,1-02002-0002
4135,"898 St, Nicholas Ave",New York,NY,10032,36061023900,1-02069-7501
4136,10 Ft. Washington Ave,New York,NY,10032,36061024500,1-2137-0070
4137,150 Columbus Ave,New York,NY,10023,36061015302,1-01138-7501
4138,100 UN Plaza,New York,NY,10017,0,1-01341-7503
4139,201 W 21 St,New York,NY,10011,36061008700,1-00771-0038
4140,61 Oilver Street,Brooklyn,NY,11209,36047005202,3-06099-0051
4141,13 W 13 St,New York,NY,10011,36061006300,1-00577-0030
4142,140-60 Beech Ave Flushing,Queens,NY,11355,36081085900,4051860029
4143,245 East 24 St,New York,NY,10010,36061006600,1-00905-0026
4144,189-14 Crocheron Ave Flushing,Queens,NY,11358,36081113900,4053070024
4145,61-15 43 Avenue Woodside,Queens,NY,11377,36081024900,4013360001
4146,40 E 94 Street,New York,NY,10128,36061016001,1-01505-7502
4147,201 West 70th Street,New York,NY,10023,0,1-01162-0029
4148,235 East 22nd Street,New York,NY,10010,36061006400,1-00903-7502
4149,565 West 169th Street,New York,NY,10032,36061025300,1-02126-0001
4150,2280 Frederick Douglass Blvd,New York,NY,10027,36061022200,1-01928-7506
4151,140-30 Ash Ave Flushing,Queens,NY,11355,36081085900,4051850017
4152,121 E 23rd St,New York,NY,10010,36061006800,1-00879-7501
4153,225 Rector Place,New York,NY,10280,36061031704,1-00016-7515
4154,301 E 94 St,New York,NY,10128,36061015601,1-01557-7502
4155,500 W 43 Street,New York,NY,10036,36061012901,1-01071-7501
4156,686 Lafayette Avenue,Brooklyn,NY,11216,0,3017850020
4157,176 WEST BROADWAY,New York,NY,10013,36061003300,1001790032
4158,41 West 82nd Street,New York,NY,10024,36061016900,1-01196-0009
4159,465 Greenwich St,New York,NY,10013,36061003900,1-00225-7501
4160,465 Greenwich St,New York,NY,10013,36061003900,1-00225-7501
4161,201 East 28th Street,New York,NY,10016,36061006600,1-00909-0001
4162,2501 Tratman Avenue,Bronx,NY,10461,36005020000,2039820001
4163,3150 Roberts Avenue,Bronx,NY,10461,36005026602,2041740005
4164,1005 Esplanade Avenue,Bronx,NY,10461,36005024800,2043280030
4165,3120 Wilkinson Avenue,Bronx,NY,10461,36005030000,2042380027
4166,2074-80 Wallace Avenue,Bronx,NY,10461,36005022800,2042920001
4167,153 East 32 Street,New York,NY,10016,36061007200,1008880031
4168,328-330 East 43rd Street,New York,NY,10017,36061008800,1013350039
4169,810 Pelham Parkway South,Bronx,NY,10462,36005022800,2043220038
4170,2185 Hone Avenue,Bronx,NY,10462,36005024800,2043280011
4171,4455-65 Douglas Ave,Bronx,NY,10471,36005030900,2-05923-7501
4172,4260 Katonah Avenue,Bronx,NY,10470,36005045101,2-03383-0001
4173,3135 Johnson Avenue,Bronx,NY,10463,36005029700,2-05739-0257
4174,3121 Middletown Road,Bronx,NY,10461,36005026602,2041720024
4175,22 Webster Ave.,Brooklyn,NY,11230,36047047600,3054400015
4176,17 East 97th St,New York,NY,10029,36061016002,1-01603-0014
4177,301 East 75th Street,New York,NY,10021,36061013400,1-01450-0001
4178,411 West End Ave,New York,NY,10024,36061016700,1-01244-0019
4179,7802 21st ave,Brooklyn,NY,11214,36047027200,3062630038
4180,2 Horatio Street,Manhattan,NY,10014,36061007700,1-00616-7501
4181,345 East 73rd Street,New York,NY,10021,36061012601,1-01448-0017
4182,"141 Wooster Street, New York",Manhattan,NY,10012,36061004900,1-00515-0031
4183,"109 West 26th Street, New York",Manhattan,NY,10001,36061009500,1-00802-0031
4184,"100 West 141st Street, New York",Manhattan,NY,10030,36061023000,1-02009-0033
4185,"124 Hudson Street, New York",Manhattan,NY,10013,36061003300,1-00190-7506
4186,"100 Hudson Street, New York",Manhattan,NY,10013,36061003300,1-00179-0056
4187,"1-5 Bond Street, New York",Manhattan,NY,10012,36061005502,1-00529-7504
4188,"6 Varick Street, New York",Manhattan,NY,10013,36061003300,1-00189-7501
4189,"161 Hudson Street, New York",Manhattan,NY,10013,36061003900,1-00215-7502
4190,"126 West 22nd Street, New York",Manhattan,NY,10011,36061008700,1-00797-7502
4191,"100 11th Avenue, New York",Manhattan,NY,10011,36061009901,1-00691-7501
4192,"140 Franklin Street, New York",Manhattan,NY,10013,36061003300,1-00189-7507
4193,"137 Duane Street, New York",Manhattan,NY,10013,36061003300,1-00147-7509
4194,"135 West 79th Street, New York",Manhattan,NY,10024,36061016500,1-01210-0017
4195,"114 Liberty Street, New York",Manhattan,NY,10006,36061001300,1-00052-7502
4196,"166 Bank Street, New York",Manhattan,NY,10014,36061007500,1-00638-0004
4197,"99 Bank street, New York",Manhattan,NY,10014,36061007900,1-00624-0001
4198,"195 Hudson Street, New York",Manhattan,NY,10013,36061003900,1-00222-7502
4199,"525 West 22nd Street, New York",Manhattan,NY,10011,36061009901,1-00694-7501
4200,"25 Bond Street, New York",Manhattan,NY,10012,36061005502,1-00529-7508
4201,"438-448 West 37th Street, New York",Manhattan,NY,10018,36061011100,1-00734-7501
4202,"704 Broadway, New York",Manhattan,NY,10003,36061005700,1-00545-7502
4203,"105 Hudson Street, New York",Manhattan,NY,10013,36061003900,1-00187-0030
4204,"37 West 93rd Street, New York",Manhattan,NY,10025,36061017700,1-01207-0015
4205,258 East $th Street,New York,NY,10009,0,0
4206,"400 Riverside Drive, New York",Manhattan,NY,10069,0,1-01895-0001
4207,"31-37 North Moore Street, New York",Manhattan,NY,10013,36061003300,1-00190-7503
4208,315 St. Johns Place,Brooklyn,NY,11238,36047020700,3-01171-0002
4209,"451 Broome Street, New York",Manhattan,NY,10013,36061004700,1-00474-0029
4210,"321 East 54th Street, New York",Manhattan,NY,10022,36061010801,1-01347-0009
4211,"393 West Broadway, New York",Manhattan,NY,10012,36061004700,1-00487-0016
4212,"684 Broadway, New York",Manhattan,NY,10012,36061005502,1-00531-0001
4213,807 Riverside Drive,New York,NY,10032,36061024100,1-02134-7503
4214,"28 Laight Street, New York",Manhattan,NY,10013,36061003300,1-00220-7502
4215,"79 Laight Street, New York",Manhattan,NY,10013,36061003900,1-00217-7501
4216,"140 East 40th Street, New York",Manhattan,NY,10016,36061008000,1-00895-0066
4217,93 Worth Street,New York,NY,10013,36061003300,1-00173-7504
4218,"478 West Broadway, New York",Manhattan,NY,10012,36061004900,1-00516-0026
4219,"644 Broadway, New York",Manhattan,NY,10012,36061005502,1-00529-0001
4220,"38-44 Warren Street, New York",Manhattan,NY,10007,36061002100,1-00136-7502
4221,"345 West 88th Street, New York",Manhattan,NY,10024,36061017500,1-01250-0006
4222,"72 Reade Street, New York",Manhattan,NY,10007,36061003300,1-00150-7501
4223,"74 West 68th Street, New York",New York,NY,10023,36061015301,1-01120-0061
