,"NYC Borough, Block and Lot (BBL)",Address 1,City,Postcode
159,3013160001,307 Sterling Street,Brooklyn,11225
160,3014240063,853 Empire Blvd.,Brooklyn,11213
161,,660 Empire Boulevard,Brooklyn,11213
162,,540 East 22 Street,Brooklyn,11226
163,,1165 Shakespeare Avenue,Bronx,10452
164,,1224 Walton Avenue,Bronx,10452
165,3023070001,250 N 10th St,Brooklyn,11211
166,3-07405-0052,P.O. Box 290 523,Brooklyn,112290523
167,3-07296-005,1902 East 18th Street,Brooklyn,11229
168,3-05426-0045,225 Foster Ave,Brooklyn,11230
169,3-06102-006,9205 Ridge Blvd.,Brooklyn,11209
170,,1781 East 18th Street,Brooklyn,11229
171,2-02806-0001,105 East 177th Street,Bronx,10453
172,4-09755-0006,89-11 153 Street,Jamaica,11432
173,3067300001,1680 OCEAN AVE.,Brooklyn,11230
174,2043190015,2186 Cruger Avenue,Bronx,10462
175,4053740023,144-44 SANFORD AVE,Queens,11355
176,1004697506,211 E 13th St,New York,10003
177,2-02677-0070,919 Prospect Avenue,Bronx,10459
178,3-05124-0040,699 Ocean Avenue,Brooklyn,11226
179,2-05904-0267,600 W 239 Street,Bronx,10463
180,1-02215-0339,1 Jacobus Pl,NEW YORK,10463
181,1-02215-0339,1 Jacobus Pl,NEW YORK,10463
182,3067140041,1201 Ave K,Brooklyn,11230
183,3067220001,1106-1124 Ave K,Brooklyn,11230
184,3-00179-7503,30 Third Avenue,Brooklyn,11217
185,1-01158-0033,210 Amsterdam Avenue,New York,10023
186,2-04550-0012,2922 Barnes Avenue,Bronx,10467
187,4/09120/0043,103-55 97TH STREET,OZONE PARK,11417
188,3011890024,934 Carroll St,Brooklyn,11225
189,4-09814-0116,87-84 165 Street,Jamaica,11432
190,2045940044,3215 Olinville Ave,Bronx,10467
191,2-03314-0041,2715 Grand Concourse,Bronx,10468
192,2-04633-0001,301 Bartholdi Street,Bronx,10467
193,2-03328-0143,3520 Dekalb Avenue,Bronx,10467
194,2-04633-0001,301 Bartholdi Street,Bronx,10467
195,1-01410-0033,177 E. 75th Street,New York,10021
196,2-03313-0040,116 East Mosholu,Bronx,10458
197,2-02703-0025,935 East 163rd Street,Bronx,10459
198,2-02703-0053,945 East 163rd Street,Bronx,10459
199,2-03249-0006,2766 university avenue,Bronx,10468
200,2-03249-0046,2800 University Avenue,Bronx,10468
201,1-00427-0002,10 Stanton St,New York,10002
202,1-01621-0014,1752 Madison Ave,New York,10029
203,1-00345-0048,210 Stanton St,New York,10002
204,3-01422-0064,701 Empire Boulevard,Brooklyn,11213
205,1-01840-0005,73 WEST 104 STREET,New York,10025
206,1-01080-0010,535 West 51st Street,New York,10019
207,3-05664-0035,5200 15 AVE HH,Brooklyn,11219
208,1-02132-7501,2360 AMSTERDAM AVENUE,New York,10033
209,1-02009-0023,133 WEST 140 STREET,New York,10030
210,1-01269-7501,15 W 53rd Street,New York,10019
211,1-00629-7501,321 WEST 13th   STREET,New York,10014
212,4-06711-0027,150-15 79th Avenue,Queens,11367
213,1-01953-0012,327 St. Nicholas Ave,New York,10027
214,1-01128-0001,57 west 75th st,new york,10023
215,,1013 East 13 Street,Brooklyn,11230
216,3-05399-0007,510 ocean parkway,brooklyn,11218
217,3-05633-0068,4802 12th Avenue,brooklyn,11219
218,3-07590-0023,945 east 26th st,brooklyn,11210
219,3-06501-0018,402 Foster ave,brooklyn,11230
220,3-01078-0016,530 Second street,brooklyn,11215
221,3-05231-0042,1964 Nostrand Ave,brooklyn,11210
222,3067380007,1818 ave L,Brooklyn,11219
223,,1800 Avenue L,Brooklyn,11230
224,,1800 Avenue L,Brooklyn,11230
225,,P.O.Box 190322,Brooklyn,11219
226,2-03194-0031,30 West 181st Street,Bronx,10453
227,2028410025,35-39 Marcy Place,Bronx,10452
228,2028430079,1424-1426 Walton Ave,Bronx,10452
229,2028440021,1465-1477 Townsend Ave,Bronx,10452
230,2028440038,1450-1456 Townsend Ave,Bronx,10452
231,2028450007,1512 Townsend AVE,Bronx,10452
232,2028450017,1530-1532 Townsend Ave,Bronx,10452
233,2028470063,1615-1617 Walton Ave.,Bronx,10452
234,2028460061,1525-1533 Townsend Ave.,Bronx,10452
235,2028380004,1610-1618 Walton Ave,Bronx,10452
236,2028450020,1550 Townsend Ave,Bronx,10452
237,1-01848-0042,315 West 115th Street,New York,10026
238,1-02175-0045,103 Thayer Street,New York,10040
239,1-01164-0047,240 West 73rd Street,New York,10017
240,"Manhattan, 1012300001, 1",464-466 Amsterdam & 200-210 West 83rd,New York,10024
241,"Manhattan, Block 1015190001, Lot 1",173 East 90th Street,New York,10128
242,"Manhattan, Block 001140, Lot 0030",182-188 Columbus Avenue,New York,10023
243,"Manhattan, Block 001121, Lot 001",181-199 Columbus Avenue,New York,10021
244,"Manhattan, Block 00798, Lot 0054",118-122 West 23rd Street,New York,10011
245,,1490 Ocean Avenue,Brooklyn,11230
246,1-01844-0001,981-995 Columbus Avenue,New York,10025
247,1-02132-0058,500 West 176th Street,New York,10033
