,"NYC Borough, Block and Lot (BBL)",Address 1,City,Postcode
12995,4-09895-0081,90-60 179th Pl,Jamaica,11432
12996,2044360027,776 Mace Ave,Bronx,10467
12997,2045700032,3039 Wallace Ave,Bronx,10467
12998,1-02142-0050,270 Fort Washington Avenue,Manhattan,10032
12999,3-01815-0126,566 Gates Avenue,Brooklyn,11221
13000,1-00180-7502,67 Hudson Street,Manhattan,10013
13001,1012207502,103-105 West 89th Street,New York,10024
13002,1021740105,61 Ellwood Street,New York,10040
13003,3076020029,1521 Ocean Ave.,Brooklyn,11230
13004,1021740105,61 Ellwood Street,New York,10040
13005,3076020029,1521 Ocean Ave.,Brooklyn,11230
13006,1010107505,100 West 58th Street,New York,10019
13007,2-03304-0020,2676 Grand Concourse,Bronx,10458
13008,3-05100-0051,49 East 19th Street,Brooklyn,11226
13009,2-02819-0001,1504 Sheridan Avenue,Bronx,10457
13010,2-02435-0007,1200 College Ave,Bronx,10456
13011,2-02505-0084,1115 Jerome Avenue,Bronx,10452
13012,2-02477-0034,1005 Walton Avenue,Bronx,10452
13013,2-02537-0047,1425 University Avenue,Bronx,10452
13014,2-02821-0032,1560 Grand Concourse,Bronx,10457
13015,2-03304-0030,2700 Grand Concourse,Bronx,10458
13016,2-03315-0054,2825 Grand Concourse,Bronx,10468
13017,2-02802-0046,255 East 176th Street,Bronx,10457
13018,2-03195-0012,2176 Grand Avenue,Bronx,10453
13019,2-03311-0072,3175 Grand Concourse,Bronx,10468
13020,2-03183-0013,2324 Walton Ave,Bronx,10468
13021,2027470024,990 Aldus St.,Bronx,10459
13022,2-03142-0018,2050 Valentine Avenue,Bronx,10457
13023,2-02846-0047,1549 Townsend Avenue,Bronx,10452
13024,2-03146-0055,2345-2347 Tiebout Avenue,Bronx,10458
13025,2-03211-0009,2170 University Avenue,Bronx,10453
13026,2-03797-0001,2015 Bruckner Boulevard,Bronx,10472
13027,2-03343-0359,3341-45 Reservoir Oval,Bronx,10468
13028,2-02819-0005,1520 Sheridan Avenue,Bronx,10457
13029,1-00944-0001,301 East 38th Street,New York,10016
13030,1-02058-0047,310-18 Convent Avenue,New York,10031
13031,2-02866-0009,54 West 174th Street,Bronx,10453
13032,2-03197-0001,2280 Grand Avenue,Bronx,10468
13033,2-04598-0007,3204 Holland Avenue,Bronx,10467
13034,2-03349-0027,3165 Decatur Avenue,Bronx,10467
13035,2-02872-0331,1515 Macombs Road,Bronx,10452
13036,2-05481-0048,3255 Randall Avenue,Bronx,10465
13037,1-02070-0012,35 Hamilton Place,New York,10031
13038,2-03356-0140,3539 Decatur Avenue,Bronx,10467
13039,4050030028,144-50 35th Avenue,Flushing,11354
13040,3-04667-0001,9201 Kings Highway,Brooklyn,11212
13041,2-03305-0001,2851-57 Valentine Avenue,Bronx,10458
13042,2-03258-0222,3451 Giles Place,Bronx,10453
13043,3-07412-7501,2475 East 11th Street,Brooklyn,11235
13044,2027470028,996 Aldus St.,Bronx,10459
13045,3-07397-0085,1200 Gravesend Neck Road,Brooklyn,11229
13046,2-02453-0007,1230 Sheridan Avenue,Bronx,10456
13047,2-03258-0177,3470 Cannon Place,Bronx,10453
13048,2-02453-0012,1264 Sheridan Avenue,Bronx,10456
13049,2-03258-0190,3605 Sedgwick Avenue,Bronx,10453
13050,2-02531-0013,1340 Merriam Avenue,Bronx,10452
13051,2-02830-0005,1310 Sheridan Avenue,Bronx,10456
13052,2031620029,2195 Grand Concourse,Bronx,10453
13053,2-02831-0020,200 Marcy Place,Bronx,10456
13054,2-02615-0065,615 East 168th Street,Bronx,10456
13055,2-02453-0045,1254 Sherman Avenue,Bronx,10456
13056,2-03196-0038,1 West 182nd Street,Bronx,10453
13057,2-02837-0018,1575 Grand Concourse,Bronx,10452
13058,2-02798-0024,240 East 175th Street,Bronx,10457
13059,2-02837-0031,1565 Grand Concourse,Bronx,10452
13060,2-03304-0080,219 East 196th Street,Bronx,10458
13061,2-02814-0086,317-321 E178th Street,Bronx,10457
13062,2-02868-0001,1800 Dr M L King Jr Blvd,Bronx,10453
13063,2-02847-0069,1605 Walton Ave,Bronx,10468
13064,2-03183-0064,2319 Morris Avenue,Bronx,10468
13065,2-03146-0029,2350 Valentine Avenue,Bronx,10458
13066,2-03196-0093,2254 Davidson Avenue,Bronx,10453
13067,2-03178-0050,2075 Morris Avenue,Bronx,10453
13068,3-04692-0003,1092 Willmohr Street,Brooklyn,11212
13069,2-02623-0188,626 Trinity Avenue,Bronx,10455
13070,2-02623-0205,625 - 629 Jackson Ave,Bronx,10455
13071,2028730021,1422 Nelson Avenue,Bronx,10452
13072,2-04256-0003,1944 Unionport Rd,Bronx,10462
13073,3-06747-0085,1333 E 18TH ST,BROOKLYN,11230
13074,3-08808-0059,3235 Emmons Avenue,Brooklyn,11235
13075,4-11461-0002,81-04 155th Avenue,Queens,11414
13076,4-00162-0028,43-10 44th Street,Queens,11104
13077,4-13943-0001,80-11 Shore Parkway,Queens,11414
13078,4-11459-0001,155-31 155th Avenue,Queens,11414
13079,2-03335-0128,3171 Rochambeau Avenue,Bronx,10467
13080,2-02456-0065,1112 CARROLL PLACE,BRONX,10456
13081,4-00162-0028,43-10 44th Street,Queens,11104
13082,4-00210-0022,50-15 39th Street,Queens,11104
13083,4-00210-0022,50-15 39th Street,Queens,11104
13084,1-00069-7502,100 John Street,New York,10038
13085,1-01025-7502,900 Eighth Avenue,New York,10019
13086,1-00017-0029,90 Washington Street,New York,10006
13087,1-01090-7502,605 West 42nd Street,New York,10036
13088,2-02720-0041,1025 Leggett Ave,Bronx,10455
13089,3072980007,2370 Ocean Ave,Brooklyn,11229
13090,1003360005,15 Bialystoker Place,NEW YORK,10002
13091,4-06853-0006,80-25 Parsons Boulevard,Jamaica,11432
13092,1021740105,61 Ellwood Street,New York,10040
13093,3076020029,1521 Ocean Ave.,Brooklyn,11230
13094,4-09838-0062,87-50 167 Street,Jamaica,11432
13095,1-01338-7502,333 East 45th Street,New York,10017
13096,1-01158-7506,200 West End Avenue,New York,10023
13097,1-00794-7501,130 West 19th Street,New York,10011
13098,1-01384-0037,710 Park Avenue,New York,10021
13099,1-01320-7505,236 East 47th Street,New York,10017
13100,1-01341-0001,301 East 48th Street,New York,10017
13101,1-00893-0017,123 East 37th Street,New York,10016
13102,1-01132-7501,161 West 61st Street,New York,10023
13103,1-01218-7501,101 West 87th Street,New York,10024
13104,1-01330-7501,212 East 57th Street,New York,10022
13105,1-00141-7504,166 Duane Street,New York,10013
13106,1-01202-7501,279 Central Park West,New York,10024
13107,1-01401-0027,137 East 66th Street,New York,10065
13108,1-01164-0063,270 West End Avenue,New York,10023
13109,1-01890-0028,308 West 103rd Street,New York,10025
13110,3-02340-7501,1 Northside Piers,Brooklyn,11249
13111,1-00798-7506,133 West 22nd Street,New York,10011
13112,1-01391-0071,956 Fifth Avenue,New York,10075
13113,1-01342-7501,309 East 49th Street,New York,10017
13114,1-01076-7501,505 West 47th Street,New York,10036
13115,1-01515-0008,115 East 86th Street,New York,10028
13116,1-00041-7503,56 Pine Street,New York,10005
13117,4-02133-0016,102-10 66th Road / 102-30 66th Road,Queens,11432
13118,1-01576-7501,510 East 80th Street,New York,10075
13119,1-00745-7502,360 West 22nd Street,New York,10011
13120,1-00849-7508,254 Park Avenue South,New York,10010
13121,1-00798-7505,125 West 22nd Street,New York,10011
13122,3-05156-0015,390 Rugby Rd,Brooklyn,11226
13123,1-01032-7501,350 West 42nd Street,New York,10036
13124,1-01566-0017,445 East 86th Street,New York,10028
13125,,40-05 59 STREET,WOODSIDE,11377
13126,1-01341-7502,321 East 48th Street,New York,10017
13127,1-00766-7504,236 - 246 West 17th Street,New York,10011
13128,1-00793-7507,100 West 18th Street,New York,10011
13129,1-01513-0070,1009 Park Avenue,New York,10028
13130,1-01143-7505,120 West 72nd Street,New York,10023
13131,1-01428-0013,225 East 73rd Street,New York,10021
13132,1-01748-0035,1919 Madison Avenue,New York,10035
13133,1-01048-7503,301 West 57th Street,New York,10019
13134,1-01216-7503,160 West 86th Street,New York,10024
13135,3-00253-0053,60 Remsen Street,Brooklyn,11201
13136,1-00217-7504,71 Laight Street,New York,10013
13137,1-00798-7507,124 West 23rd Street,New York,10011
13138,1-01548-7502,305 East 85th Street,New York,10028
13139,1-00851-7506,45 East 22nd Street,New York,10010
13140,2037930039,1990 Ellis Avenue,Bronx,10472
13141,3068360050,3203 Nostrand Avenue,Brooklyn,11229
13142,2033360011,3280 Rochambeau Avenue,Bronx,10467
13143,3-06100-0028,28 Marine Avenue,Brooklyn,11209
13144,3-01167-0013,452 Park Pl,Brooklyn,11238
13145,1012130009,139 West 82nd Street,New York,10024
13146,1007380015,335 West 14th Street,New York,10014
13147,1005450046,416 Lafayette Street,New York,10003
13148,1013730001,595 - 625 Main Street,New York,10044
13149,3-01164-7502,222 Park Pl,Brooklyn,11238
13150,1021740105,61 Ellwood Street,New York,10040
13151,3076020029,1521 Ocean Ave.,Brooklyn,11230
13152,3055907502,970 41st Street,Brooklyn,11219
13153,1-00940-7501,333 East 34th Street,New York,10016
13154,4-02716-0001,6401 Grand Ave,Queens,11378
13155,1021790070,100 Cabrini Boulevard,New York,10033
13156,1021790066,106 Cabrini Boulevard,New York,10033
13157,3067650028,1558 East 19th Street,Brooklyn,11230
13158,4014550041,34-15 94th Street,Jackson Heights,11372
13159,2033560120,3502 Hull Avenue,Bronx,10467
13160,1021320032,508 West 178th Street,New York,10033
13161,4096790200,90-23 149th Street,Jamaica,11435
13162,4099780006,138-42 90th Avenue,Jamaica,11435
13163,4097620058,153-15 89 Avenue,Jamaica,11432
13164,3066210022,1650 West 10th Street,Brooklyn,11223
13165,3074230011,2425 Haring St,Brooklyn,11235
13166,4104990083,188-30 87th Drive,Hollis,11423
13167,1003980035,194 East Second Street,New York,10009
13168,1000260014,37 WALL ST ENT,New York,10005
13169,1000550014,71-75 West Street,New York,10006
13170,4001390035,43-34 49th Street,Sunnyside,11104
13171,4001960012,47-21 41st Street,Sunnyside,11104
13172,4-00193-0047,45-42  41st Street,Sunnyside,11104
13173,4001410027,43-38 47th Street,Sunnyside,11104
13174,4001400025,43-05 47th Street,Sunnyside,11104
13175,3050620051,50 East 21st Street,Brooklyn,11226
13176,3051620052,349 East 19 Street,Brooklyn,11226
13177,3052080004,2212 Ditmas Avenue,Brooklyn,11226
13178,3051620022,822 Ocean Ave,Brooklyn,11226
13179,3-05123-0062,141 East 19th Street,Brooklyn,11226
13180,3050800013,446 Ocean Avenue,Brooklyn,11226
13181,3-05163-0033,2015 Dorchester Rd,Brooklyn,11226
13182,3050560083,135 Clarkson Ave,Brooklyn,11226
13183,4093040011,87-24 115th Street,Richmond Hill,11418
13184,3059280028,252 74th Street,Bay Ridge,11209
13185,,607 W. 190th Street,New York,10040
13186,3002350046,136 Hicks Street,Brooklyn,11201
13187,4089320033,90-19 88th Ave,Woodhaven,11421
13188,4088570075,84-25 85th Rd,Woodhaven,11421
13189,,624 W. 176th Street,New York,10033
13190,,617 W. 190th Street,New York,10040
13191,,602 W. 190th Street,New York,10040
13192,,"204 Sherman Avenue, New York, NY",New York,10034
13193,,601 W. 173rd Street,New York,10032
13194,,600 W. 174th Street,New York,10033
13195,,232 Sherman Avenue,New York,10034
13196,,514 W. 213th Street,New York,10034
13197,,612 W. 178th Street,New York,10033
13198,,613 E. 16th Street,New York,11226
13199,,189 E. 18th Street,New York,11226
13200,,609 W. 174th Street,New York,10033
13201,,51 Stratford Road,New York,11218
13202,,545 85th Street,New York,11209
13203,,30 Linden Boulevard,New York,11226
13204,,45 Thayer Street,New York,10040
13205,,555 W. 170th Street,New York,10032
13206,,35 Thayer Street,New York,10040
13207,,609 W. 173rd Street,New York,10032
13208,,140-30 Beech Avenue,Flushing,11355
13209,,140-40 Beech Avenue,Flushing,11355
13210,,2160 Caton Ave,Brooklyn,11226
13211,,2164 Caton Avenue,New York,11226
13212,,9405 35th Ave,Queens,11372
13213,,9419 35th Ave,Queens,11372
13214,,3535 95th St,Queens,11372
13215,,9505 35th Ave,Queens,11372
13216,,3525 95 St,Queens,11372
13217,,WH - 140-40 Beech Avenue,New York,11355
13218,1-00785-0029,213 West 35th Street,New York,10001
13219,1-00806-0026,115 West 35th Street,new York,10001
13220,1-00848-0061,900 Broadway,New York,10003
13221,1-00802-0022,127 West 26th Street,New York,10001
13222,4050030028,144-50 35th Avenue,Flushing,11354
13223,4014550041,34-15 94th Street,Jackson Heights,11372
13224,2033560120,3502 Hull Avenue,Bronx,10467
13225,1-02137-0131,610-618 West 164th Street,New York,10032
13226,4001390035,43-34 49th Street,Sunnyside,11104
13227,4-00193-0047,45-42  41st Street,Sunnyside,11104
13228,4001960012,47-21 41st Street,Sunnyside,11104
13229,4001400025,43-05 47th Street,Sunnyside,11104
13230,4001410027,43-38 47th Street,Sunnyside,11104
13231,3051620052,349 East 19 Street,Brooklyn,11226
13232,3050620051,50 East 21st Street,Brooklyn,11226
13233,3051620022,822 Ocean Ave,Brooklyn,11226
13234,3-05123-0062,141 East 19th Street,Brooklyn,11226
13235,3052080004,2212 Ditmas Avenue,Brooklyn,11226
13236,3050800013,446 Ocean Avenue,Brooklyn,11226
13237,3-05163-0033,2015 Dorchester Rd,Brooklyn,11226
13238,4093040011,87-24 115th Street,Richmond Hill,11418
13239,3050560083,135 Clarkson Ave,Brooklyn,11226
13240,3059280028,252 74th Street,Bay Ridge,11209
13241,3002350046,136 Hicks Street,Brooklyn,11201
13242,1021690060,607 W. 190th Street,New York,10040
13243,1021440008,624 W. 176th Street,New York,10033
13244,4089320033,90-19 88th Ave,Woodhaven,11421
13245,4088570075,84-25 85th Rd,Woodhaven,11421
13246,1021690001,617 W. 190th Street,New York,10040
13247,1021430020,601 W. 173rd Street,New York,10032
13248,1021680070,602 W. 190th Street,New York,10040
13249,1022260035,"204 Sherman Avenue, New York, NY",New York,10034
13250,1021430013,600 W. 174th Street,New York,10033
13251,1022270029,232 Sherman Avenue,New York,10034
13252,1022300011,514 W. 213th Street,New York,10034
13253,1021440033,612 W. 178th Street,New York,10033
13254,3052370041,613 E. 16th Street,New York,11226
13255,3051220066,189 E. 18th Street,New York,11226
13256,1021430062,609 W. 174th Street,New York,10033
13257,3050720041,51 Stratford Road,New York,11218
13258,3060270053,545 85th Street,New York,11209
13259,3050860022,30 Linden Boulevard,New York,11226
13260,1021740245,45 Thayer Street,New York,10040
13261,1021740241,35 Thayer Street,New York,10040
13262,1021270023,555 W. 170th Street,New York,10032
13263,1021430021,609 W. 173rd Street,New York,10032
13264,4051860024,140-40 Beech Avenue,Flushing,11355
13265,4051860019,140-30 Beech Avenue,Flushing,11355
13266,3050830108,2160 Caton Ave,Brooklyn,11226
13267,3050830095,2164 Caton Avenue,New York,11226
13268,4014550050,9405 35th Ave,Queens,11372
13269,4014550085,9419 35th Ave,Queens,11372
13270,4014550080,9505 35th Ave,Queens,11372
13271,4014690063,3525 95 St,Queens,11372
13272,4014690058,3535 95th St,Queens,11372
13273,4051860024; 4051860019,WH - 140-40 Beech Avenue,New York,11355
13274,1-00803-0007,153 West 27th St,New York,10001
13275,3-05399-0041,570 Ocean Pkwy,Brooklyn,11218
13276,1-00832-0001,1239 Broadway,New York,10001
13277,4-01837-7501,88 - 30 51st Avenue,Elmhurst,11373
13278,4-02235-0047,110 - 33 72nd Avenue,Forest Hills,11375
13279,4155560001,1012 NAMEOKE STREET,BROOKLYN,11691
13280,1-01969-0048,49 Saint Nicholas Terrace,New York,10027
13281,1-02138-0134,238 Fort Washington Ave.,New York,10032
13282,1-02118-0007,564 West 160th Street,New York,10032
13283,1-02002-0069,593 Riverside Drive,New York,10031
13284,1-02134-0090,600 West 157th Street,New York,10032
13285,1-02229-0005,4996 Broadway,New York,10034
13286,1-02169-0053,601 West 190th Street,New York,10040
13287,1-02087-0041,608 - 610 W. 139th Street,New York,10031
13288,1-02088-0106,618 W. 142nd Street,New York,10031
13289,1-02221-0030,74 Post Avenue,New York,10034
13290,1-02180-0078,2 Magaw Place,New York,10033
13291,1-02158-0054,460 Audubon Avenue,New York,10040
13292,1-00267-0037,371 Madison Street,New York,10002
13293,3-02721-7503,20 Bayard St,Brooklyn,11211
13294,3073800013,2662 Ocean Avenue,Brooklyn,11229
13295,3074460001,2430 Haring Street,Brooklyn,11235
13296,3074460001; 3074230011,2530 Haring St,Brooklyn,11235
13297,1-00807-7501,125 West 31st Street,New York,10001
13298,1-01070-0029,561 10th Avenue,New York,10036
13299,1-01557-0025,345 East 94th Street,New York,10128
13300,3030547503,228 BUSHWICK AVE,Brooklyn,11206
13301,3022647507,248 WALLABOUT ST,Brooklyn,11206
13302,3019417501,260 SKILLMAN ST,Brooklyn,11205
13303,3022517502,37 THROOP AVE,Brooklyn,11206
13304,3022517503,41 THROOP AVE,Brooklyn,11206
13305,3018867501,800 BEDFORD AVE,Brooklyn,11205
13306,3022407507,51-53 LORIMER STREET,BROOKLYN,11206
13307,3022407509,57-59 LORIMER STREET,BROOKLYN,11206
13308,3017157510,739 BEDFORD AVE.,BROOKLYN,11205
13309,3022617501,755 Kent Ave,Brooklyn,11249
13310,3022450008,70 Lorimer Street,Brooklyn,11206
13311,1021710008,25 Nagle Ave,Manhattan,10040
13312,2032860019,2557 Marion Ave,Bronx,10458
13313,1-00576-7502,59 West 12 Street,Manhattan,10011
13314,4-03316-0010,114-14 Union Turnpike,Queens,11415
13315,2-02478-0040,1113 Walton Ave,Bronx,10452
13316,,690 Academy Street,New York,10034
13317,2-03130-0020,1001-1005 E. Tremont Ave.,Bronx,10460
13318,2-03130-0020,999 East Tremont Avenue,Bronx,10460
13319,2-03136-0001,1001-1005 East 178th Street,Bronx,10460
13320,2-02987-0025,950 Jennings Street,Bronx,10460
13321,2-03130-0020,990-1000 178th Street,Bronx,10460
13322,2-03070-0030,2111 Hughes Avenue,Bronx,10457
13323,2-03179-0052,2075 Walton Avenue,Bronx,10453
13324,2-03098-0001,2130 Crotona Avenue,Bronx,10457
13325,2-03209-0009,54 Evelyn Place,Bronx,10468
13326,2-03291-0024,321 East 198th Street,Bronx,10458
13327,2-03291-0016,323 East 198th Street,Bronx,10458
13328,2-03324-0030,21 West Mosholu Pkwy North,Bronx,10467
13329,2-03291-0008,325 East 198th Street,Bronx,10458
13330,2-03130-0020;2-03131-0020;2-03136-0001,1 West Farms Square Plaza,Bronx,10460
13331,2-03293-0135,240 East 194th Street,Bronx,10458
13332,2-03195-0016,38 West 182nd Street,Bronx,10453
13333,2-03136-0001,1000 - 1010 East 179th Street (Building 7&8),Bronx,10460
13334,2-03031-0021,2350 Webster Avenue,Bronx,10460
13335,2-03187-0047,2323 Walton Avenue,Bronx,10468
13336,2-03294-0030,2690-2694-2698 Briggs Avenue,Bronx,10458
13337,2-03131-0020,999 East 178th Street,Bronx,10460
13338,2-03206-0022,56-58 West 180th Street,Bronx,10453
13339,2-03170-0027,100 East 182nd Street,Bronx,10453
13340,2-03179-0047,2085 Walton Ave,Bronx,10453
13341,2-03182-0004,2240 Walton Ave,Bronx,10453
13342,2-03152-0029,2385 Valentine Avenue,Bronx,10458
13343,2-03172-0008,2314 Morris Ave,Bronx,10468
13344,2-04048-0014,1830 Amethyst Street,Bronx,10462
13345,2-03209-0045,2333 Grand Ave,Bronx,10468
13346,2-03293-0039,2600 Briggs Ave,Bronx,10458
13347,2-03197-0009,2285 Davidson Ave,Bronx,10468
13348,2-03225-0022,2295 Andrews Ave,Bronx,10468
13349,2-03213-0014,2432 University Ave,Bronx,10468
13350,2-03183-0037,2356 Walton Avenue,Bronx,10468
13351,2-03182-0019,2270 Walton Ave,Bronx,10453
13352,2-03152-0003,2380 Ryer Ave,Bronx,10458
13353,2-03111-0009,814 East 181st Street,Bronx,10460
13354,3-03808-0011,710 Dumont Avenue,Brooklyn,11207
13355,3-06277-0001,7913 Bay Pkwy,Brooklyn,11214
13356,1022150586,130 West 228th Street,Bronx,10463
13357,3050560014,530 Parkside Avenue,Brooklyn,11226
13358,1-02121-0010,1056 Saint Nicholas Ave,New York,10032
13359,1-01391-0002,952 5 Avenue,New York,10075
13360,2026070049,1100 Frankin Avenue,Bronx,10456
13361,2026140019,1208 Frankin Avenue,Bronx,10456
13362,2028320008,1420  Grand Concourse,Bronx,10456
13363,2044290035,690 Allerton Avenue,Bronx,10467
13364,2032280001,1901 Loring Place,Bronx,10453
13365,2032120082,2395-97 Grand Avenue,Bronx,10468
13366,2030250013,2427 Webster Avenue,Bronx,10458
13367,2026120058,1229 Franklin Avenue,Bronx,10456
13368,2026150008,1250 Franklin Avenue,Bronx,10456
13369,2052280041,3300 Palmer Avenue,Bronx,10475
13370,1005330001,2 Washington Square Village,New York,10012
13371,2052280012,3310 Palmer Avenue,Bronx,10475
13372,3-03603-0025,228 Riverdale Avenue,Brooklyn,10705
13373,2-04659-0001,713 Tilden Street,Bronx,10467
13374,1-01521-7501,134 East 93rd Street,New York,10128
13375,1-00822-7504,15 West 20th Street,New York,10011
13376,3067670059,2065 ocean avenue,Brooklyn,11229
13377,4-09281-0046,127-03 Jamaica Avenue,Queens,11418
13378,2031930017,2080 Grand Avenue,Bronx,10453
13379,5005930590,107 ARLO RD ENT,Staten Island,10301
13380,4050460020,41-10 BOWNE ST 1ENT,Queens,11355
13381,4099370001,178-10 WEXFORD TERR ENTM,Queens,11432
13382,4097730005,162-15 HIGHLAND AVE ENTM,Queens,11432
13383,3073080032,3310 NOSTRAND AVE PLPM,Brooklyn,11229
13384,4099370025,178-60 WEXFORD TERR HOBM,Queens,11432
13385,4099500009,182-30 WEXFORD TERR PLPM,Queen,11432
13386,4098490130,166-05 HIGHLAND AVE PLP,Queens,11432
13387,3064680016,1429 SHORE PKWY,Brooklyn,11214
13388,4050490006,143-06 BARCLAY AVE ENTM,Queens,11355
13389,3051550017,394 ARGYLE RD HCM,Brooklyn,11218
13390,4099450048,86-75 MIDLAND PKWY ENTM,Queens,11432
13391,4050480001,143-09 BARCLAY AVE,Queens,11355
13392,3051550050,405 WESTMINSTER RD HCM,Brooklyn,11218
13393,3073090040,3291 NOSTRAND AVE ENTM,Brooklyn,11229
13394,3064410001,8800 20 AVE PLPM,Brooklyn,11214
13395,3073090040,3315 NOSTRAND AVE PLPM,Brooklyn,11229
13396,3064680016,1445 SHORE PKWY PLPM,Brooklyn,11214
13397,3072350001,2612 WEST ST PLPM,Brooklyn,11235
13398,5039830045,255 MILL RD HLS,Staten Island,10306
13399,3073080032,3280 NOSTRAND AVE ENTM,Brooklyn,11229
13400,3074330013,1230 AV Y PLP,Brooklyn,11235
13401,3072740035,3000 Ocean Parkway,Brooklyn,11235
13402,5005950015,460 HOWARD AVE OM,Staten Island,10301
13403,5005950015,516 HOWARD AVE ENT,Staten Island,10301
13404,3064680016,1461 SHORE PKWY PLPM,Brooklyn,11214
13405,3063780019,8635 21 AVE PLPM,Brooklyn,11214
13406,5005950015,22 ARLO RD ENT,Staten Island,10301
13407,3072740020,2940 Ocean Parkway,Brooklyn,11235
13408,3064710090,8855 BAY PKWY HCM,Brooklyn,11214
13409,5005930590,49 ARLO RD ENT,Staten Island,10301
13410,3072370002,2775 Shore Pkwy,Brooklyn,11223
13411,4096440001,86-25 VAN WYCK EXPY ENTM,Queens,11435
13412,3068780048,8700 25 AVE PLP,Brooklyn,11214
13413,3064890001,1483 SHORE PKWY ENTM,Brooklyn,10001
13414,3072370002,2795 Shore Pkwy,Brooklyn,11223
13415,5039830001,675 TYSENS LANE OM,Staten Island,10306
13416,3072380002,9 Murdock Ct,Brooklyn,11223
13417,3072380002,29 Murdock Ct,Brooklyn,11223
13418,3064690001,2038 CROPSEY AVE PLPM,Brooklyn,11214
13419,3-06048-0005,8701 Ridge Blvd,Brooklyn,11209
13420,3072380082,9 NIXON COURT PLPM,Brooklyn,11223
13421,5039830065,30 EBBITTS ST OM,Staten Island,10306
13422,3072380002,49 Murdock Ct.,Brooklyn,11223
13423,3072340150,2661 West 2 St.,Brooklyn,11223
13424,3072340100,2611 W 2 ST PLPM,Brooklyn,11223
13425,5039830065,26 EBBITTS ST HELM,Staten Island,10306
13426,5005950015,550 HOWARD AVE,Staten Island,10301
13427,3072140039,621 Ave. Z,Brooklyn,11223
13428,3072340001,2612 W 2 ST PLPM,Brooklyn,11223
13429,5005950015,7 STRATFORD Avenue,Staten Island,10301
13430,,1114 Avenue J ste 3,Brooklyn,11230
13431,5039830001,655 TYSENS LANE MRM,Staten Island,10306
13432,5039830045,265 MILL RD HLS,Staten Island,10306
13433,5005930590,23 ARLO RD OM,Staten Island,10301
13434,5005930590,81 ARLO RD OM,Staten Island,10301
13435,5039830045,245 MILL RD HELM,Staten Island,10306
13436,5005950015,42 ARLO RD EDF,Staten Island,10301
13437,5005950015,488 HOWARD AVE OWNR,Staten Island,10301
13438,5005950015,50 ARLO RD ENT,Staten Island,10301
13439,3064670012,8831 20 AVE PLPM,Brooklyn,11214
13440,3076540024,3601 Kings Highway,Brooklyn,11234
13441,1003360005,15 Bialystoker Place,NEW YORK,10002
13442,5005950015,74 ARLO RD ENT,Staten Island,10301
13443,5039830001,285 MILL RD HLS,Staten Island,10001
13444,5005930590,434 HOWARD AVE OM,Staten Island,11233
13445,3072160038,675 Ave. Z,Brooklyn,11223
13446,4033580001,80-45 Kew Gardens Road,Kew Gardens,11415
13447,3076550045,3720 Avenue L,Brooklyn,11210
13448,2025770052,471 Wales Avenue,Bronx,10455
13449,2025770052,471 Wales Avenue,Bronx,10455
13450,2032560200,3009 Kingsbridge Terrace,Bronx,10463
13451,2025770048,481 Wales Avenue,Bronx,10455
13452,1006170036,234 West 13th Street,New York,10011
13453,2031980031,2357 Davidson Avenue,Bronx,10468
13454,4-10820-0083,191-11 Woodhull Ave,Queens,11423
13455,2032300005,1955 Sedgwick Avenue,Bronx,10453
13456,3067300063,1620 Ocean Avenue,Brooklyn,11230
13457,2057460584,2601 Henry Hudson Parkway,Bronx,10463
13458,2057870137,3220 Netherland Avenue,Bronx,10463
13459,4032930064,73-37 Austin Street,Forest Hills,11375
13460,2032190156,2444 Devoe Terrace,Bronx,10468
13461,4-09817-0006,88-05 Merrick Boulevard,Jamaica,11432
13462,4-10821-0070,91-50/56 195th Street,Hollis,11423
13463,4-09678-0042,90-10 149 Street,Jamaica,11435
13464,4-09817-0030,166-33 89 Avenue,Jamaica,11432
13465,4014450034,84-09 35th Avenue,Jackson heights,11372
13466,3051610033,1801 Dorchester Road,Brooklyn,11226
13467,3051560021,400 Rugby Road,Brooklyn,11226
13468,3052400017,1170 Ocean Ave,Brooklyn,11230
13469,3067610075,1535 East 14th Street,Brooklyn,11230
13470,4-09814-0116,87-84 165 Street,Jamaica,11432
13471,4-09755-0006,89-11 153 Street,Jamaica,11432
13472,4-09818-0049,166-05 88th Ave,Queens,11432
13473,1016240045,1501 Lexington Avenue,New York,10029
13474,4001410027,43-38 47th Street,Sunnyside,11104
13475,4001400025,43-05 47th Street,Sunnyside,11104
13476,1021680070,602 W. 190th Street,New York,10040
13477,1021690060,607 W. 190th Street,New York,10040
13478,1022260035,"204 Sherman Avenue, New York, NY",New York,10034
13479,1021440008,624 W. 176th Street,New York,10033
13480,1021430020,601 W. 173rd Street,New York,10032
13481,1021430013,600 W. 174th Street,New York,10033
13482,1022270029,232 Sherman Avenue,New York,10034
13483,1022300011,514 W. 213th Street,New York,10034
13484,1021430062,609 W. 174th Street,New York,10033
13485,1021740245,45 Thayer Street,New York,10040
13486,1021270023,555 W. 170th Street,New York,10032
13487,1021430021,609 W. 173rd Street,New York,10032
13488,3-01447-0001,331 Saratoga Avenue,Brooklyn,11233
13489,4050500004,144-20 41 AVE,Flushing,11355
13490,4076720002,224-01 69 AVENUE,Oakland Gardens,11364
13491,4076720002,225-19 69 AVENUE,Oakland Gardens,11364
