20890,"65 Elmwood Park dr, Staten Island, NY, 10315",No_Match,,,,,,,,,
20899,"150-15 79th ave, Queens, NY, 11367",Match,Non_Exact,"150 79TH AVE, KEW GARDEN HL, NY, 11367","-73.81284668699993,40.720130839000035",59710635,L,36,81,77904,2002
20898,"3525 Bainbridge ave, Bronx, NY, 10467",Match,Exact,"3525 BAINBRIDGE AVE, BRONX, NY, 10467","-73.87824878799995,40.88180316000006",80297144,L,36,5,43101,4000
20897,"1862 e 14th st, Brooklyn, NY, 11229",Match,Exact,"1862 E 14TH ST, BROOKLYN, NY, 11229","-73.95838170199994,40.60425130900006",59089923,R,36,47,55600,1001
22602,"110 Fulton Street, New York, NY, 10038",Match,Exact,"110 FULTON ST, NEW YORK, NY, 10038","-74.00700777399999,40.70984420700006",59660467,L,36,61,1502,2002
22603,"384 Grand Street, New York, NY, 10002",Match,Exact,"384 GRAND ST, NEW YORK, NY, 10002","-73.98784126099997,40.716295444000025",59654291,L,36,61,1402,1007
22604,"174 Avenue A, New York, NY, 10002",Match,Non_Exact,"174 AVE A, NEW YORK, NY, 10009","-73.98174465299996,40.728498229000024",59654699,R,36,61,3400,2000
22605,"165 Eldridge Street, New York, NY, 10002",Match,Exact,"165 ELDRIDGE ST, NEW YORK, NY, 10002","-73.99098080299996,40.72008903400007",59654003,L,36,61,1800,4001
22606,"284 5th Ave, New York, NY, 10001",Match,Exact,"284 5TH AVE, NEW YORK, NY, 10001","-73.98636203899997,40.74597602500006",59653471,L,36,61,7600,2000
22607,"459 West 46th Street, New York, NY, 10036",Match,Exact,"459 W 46TH ST, NEW YORK, NY, 10036","-73.99293424599995,40.76190998100003",611526658,R,36,61,12700,3001
22608,"2010 Lexington Avenue, New York, NY, 10035",Match,Exact,"2010 LEXINGTON AVE, NEW YORK, NY, 10035","-73.93860495599995,40.802764040000056",59658097,L,36,61,19600,1000
22609,"149 West 105th Street, New York, NY, 10025",Match,Exact,"149 W 105TH ST, NEW YORK, NY, 10025","-73.96475223099998,40.799158110000064",59656852,R,36,61,18900,5000
22600,"320 Devoe Street, Brooklyn, NY, 11211",Match,Exact,"320 DEVOE ST, BROOKLYN, NY, 11211","-73.93766583599995,40.71382515000005",59077307,R,36,47,48100,3002
22601,"695 Grand Street, Brooklyn, NY, 11211",Match,Exact,"695 GRAND ST, BROOKLYN, NY, 11211","-73.94480650499997,40.71156327600005",642654157,L,36,47,49500,3002
20874,"3025 Ocean Ave., Brooklyn, NY, 11235",Match,Exact,"3025 OCEAN AVE, BROOKLYN, NY, 11235","-73.94912139099995,40.58738094100005",59091837,L,36,47,60000,4001
20873,"1246 Shakespeare ave, Bronx, NY, 10452",Match,Exact,"1246 SHAKESPEARE AVE, BRONX, NY, 10452","-73.92314146499996,40.83832712700007",80299423,R,36,5,21100,4002
20872,"4710 Laurel Hill blvd, Queens, NY, 11377",No_Match,,,,,,,,,
20871,"1212 Grant ave, Bronx, NY, 10456",Match,Exact,"1212 GRANT AVE, BRONX, NY, 10456","-73.91473981999997,40.83396946100004",80299890,R,36,5,17901,1000
20870,"6665 Colonial rd, Brooklyn, NY, 11220",Match,Exact,"6665 COLONIAL RD, BROOKLYN, NY, 11220","-74.02985935399994,40.640078516000074",59094061,L,36,47,3000,1004
20879,"75 Hawthorne, Brooklyn, NY, 11225",Match,Non_Exact,"75 HAWTHORNE ST, BROOKLYN, NY, 11225","-73.95786430399994,40.657381515000054",59079516,L,36,47,79601,2000
20878,"2940 Ocean Ave, Brooklyn, NY, 11235",Match,Exact,"2940 OCEAN AVE, BROOKLYN, NY, 11235","-73.94958524699996,40.589739346000044",59091643,R,36,47,59200,3000
20877,"11-10 Anderson Ave, Bronx, NY, 10452",No_Match,,,,,,,,,
20876,"1150 Tiffany St, Bronx, NY, 10459",Match,Exact,"1150 TIFFANY ST, BRONX, NY, 10459","-73.89499059199994,40.82714908100007",649896430,R,36,5,12500,1006
20875,"3836 Bailey Ave., Bronx, NY, 10463",Match,Exact,"3836 BAILEY AVE, BRONX, NY, 10463","-73.89690886099999,40.88478097600006",80312965,R,36,5,27900,6000
20885,"800 Bergen st, Brooklyn, NY, 11238",Match,Exact,"800 BERGEN ST, BROOKLYN, NY, 11238","-73.96127539499997,40.677963771000066",59078437,R,36,47,30500,2002
20884,"644 West 185 st, New York, NY, 10033",Match,Exact,"644 W 185TH ST, NEW YORK, NY, 10033","-73.93332408899994,40.85225075900007",59655574,L,36,61,27100,3001
20883,"9615 Shore rd, Brooklyn, NY, 11209",Match,Exact,"9615 SHORE RD, BROOKLYN, NY, 11209","-74.03790552299995,40.61572666300003",59087399,L,36,47,5601,1000
20882,"2728 Marion Avenue, Bronx, NY, 10458",Match,Exact,"2728 MARION AVE, BRONX, NY, 10458","-73.88896146299999,40.86595540400003",80298910,R,36,5,40502,3001
20881,"1806 48 st, Brooklyn, NY, 11204",Match,Exact,"1806 48TH ST, BROOKLYN, NY, 11204","-73.98011991199996,40.62868983800007",59080725,R,36,47,47400,1001
20880,"438 Ocean pkwy, Brooklyn, NY, 11218",Match,Exact,"438 OCEAN PKWY, BROOKLYN, NY, 11218","-73.97334585899995,40.63784095300008",59080762,R,36,47,49000,2003
20889,"170 East 88th Street, New York, NY, 10128",Match,Exact,"170 E 88TH ST, NEW YORK, NY, 10128","-73.95385836899999,40.78047072800007",59658281,R,36,61,14802,2001
20888,"150 Prospect Park West, Brooklyn, NY, 11215",Match,Exact,"150 PROSPECT PARK W, BROOKLYN, NY, 11215","-73.97730851599994,40.66406551000006",59078355,R,36,47,16700,2001
20887,"1445 Nelson ave, Bronx, NY, 10452",Match,Exact,"1445 NELSON AVE, BRONX, NY, 10452","-73.92162534499994,40.84308216900007",80299428,L,36,5,21302,2002
20886,"8835 162 st, Queens, NY, 11432",No_Match,,,,,,,,,
20059,"3000 BRIGHTON 12 STREET, Brooklyn, NY, 11235",Match,Exact,"3000 BRIGHTON 12TH ST, BROOKLYN, NY, 11235","-73.95676198699994,40.57974531800005",59091774,R,36,47,61004,2001
20058,"184 Joralemon Street, Brooklyn, NY, 11201",Match,Exact,"184 JORALEMON ST, BROOKLYN, NY, 11201","-73.99171089899994,40.692650067000045",59075014,R,36,47,900,1003
21389,"2070 Grand Concourse, Bronx, NY, 10457",Match,Exact,"2070 GRAND CONCOURSE, BRONX, NY, 10457","-73.90267680799997,40.85330963600006",640810982,R,36,5,23502,4005
20057,"53 Howard Street, New York, NY, 10013",Match,Exact,"53 HOWARD ST, NEW YORK, NY, 10013","-74.00160849499997,40.720027542000025",59660306,L,36,61,4700,2014
21388,"2185 Bolton Street, Bronx, NY, 10462",Match,Exact,"2185 BOLTON ST, BRONX, NY, 10462","-73.86865017699995,40.85616652700003",80304182,L,36,5,22401,1003
20056,"122 Duane Street, New York, NY, 10007",Match,Exact,"122 DUANE ST, NEW YORK, NY, 10007","-74.00688483399995,40.71589847000007",59660349,L,36,61,3300,3003
21387,"1221 White Plains Road, Bronx, NY, 10472",Match,Exact,"1221 WHITE PLAINS RD, BRONX, NY, 10472","-73.86188237999994,40.83108809200007",80312697,L,36,5,7200,2000
20055,"118 Duane Street, New York, NY, 10007",Match,Exact,"118 DUANE ST, NEW YORK, NY, 10007","-74.00671329699998,40.715820130000054",59660349,L,36,61,3300,3003
21386,"225 West 232 Street, Bronx, NY, 10463",Match,Exact,"225 W 232ND ST, BRONX, NY, 10463","-73.90415142699999,40.88026008200006",80296560,R,36,5,28700,3001
20054,"1341 Franklin Ave, Bronx, NY, 10456",Match,Exact,"1341 FRANKLIN AVE, BRONX, NY, 10456","-73.90108432899996,40.83286733500006",80301316,L,36,5,14900,1002
21385,"1895 Morris Avenue, Bronx, NY, 10453",Match,Exact,"1895 MORRIS AVE, BRONX, NY, 10453","-73.90808197299998,40.849490453000044",80299735,L,36,5,23301,4000
20053,"985 PARK PL, Brooklyn, NY, 11213",Match,Exact,"985 PARK PL, BROOKLYN, NY, 11213","-73.94525262799993,40.673160162000045",59079439,L,36,47,34100,2000
21384,"2141 Starling Avenue, Bronx, NY, 10462",Match,Exact,"2141 STARLING AVE, BRONX, NY, 10462","-73.85355131199998,40.836228927000036",80305477,L,36,5,22200,1003
20052,"261 BUFFALO AVE, Brooklyn, NY, 11213",Match,Exact,"261 BUFFALO AVE, BROOKLYN, NY, 11213","-73.92542359899994,40.67005647000008",59083422,L,36,47,35900,3001
21383,"1560 Silver Street, Bronx, NY, 10461",Match,Exact,"1560 SILVER ST, BRONX, NY, 10461","-73.84673744699995,40.84411117500008",80305541,R,36,5,20000,4001
